id,Ward,Jeff Wright,Brittany Kinser,Jill Underly,write-in:
12945,City of Milwaukee Ward 73 ,23,8,31,0
12948,City of Milwaukee Ward 74 ,10,16,31,0
12951,City of Milwaukee Ward 75 ,28,14,36,0
12954,City of Milwaukee Ward 76 ,31,31,36,0
12957,City of Milwaukee Ward 77 ,45,25,72,1
12960,City of Milwaukee Ward 78 ,17,30,40,0
12963,City of Milwaukee Ward 79 ,112,64,163,0
12966,City of Milwaukee Ward 80 ,27,22,36,0
12969,City of Milwaukee Ward 81 ,20,14,44,0
12972,City of Milwaukee Ward 82 ,25,15,35,1
12975,City of Milwaukee Ward 83 ,86,56,113,0
12978,City of Milwaukee Ward 84 ,20,13,45,0
12981,City of Milwaukee Ward 85 ,80,29,102,0
12984,City of Milwaukee Ward 86 ,32,17,39,0
12987,City of Milwaukee Ward 87 ,31,26,51,0
12990,City of Milwaukee Ward 88 ,32,17,53,1
12993,City of Milwaukee Ward 89 ,51,25,65,0
12996,City of Milwaukee Ward 90 ,55,36,108,0
12999,City of Milwaukee Ward 91 ,13,4,29,0
13002,City of Milwaukee Ward 92 ,21,5,30,0
13005,City of Milwaukee Ward 93 ,36,24,72,0
13008,City of Milwaukee Ward 94 ,30,23,55,0
13011,City of Milwaukee Ward 95 ,14,9,30,0
13014,City of Milwaukee Ward 96 ,28,24,72,0
13017,City of Milwaukee Ward 97 ,26,10,37,1
13020,City of Milwaukee Ward 98 ,16,13,56,0
13023,City of Milwaukee Ward 99 ,29,19,54,0
13026,City of Milwaukee Ward 100 ,12,2,18,0
13029,City of Milwaukee Ward 101 ,20,12,38,0
13032,City of Milwaukee Ward 102 ,9,1,9,0
13035,City of Milwaukee Ward 103 ,6,5,14,0
13038,City of Milwaukee Ward 104 ,29,12,28,0
13041,City of Milwaukee Ward 105 ,10,6,19,1
13044,City of Milwaukee Ward 106 ,4,8,17,0
13047,City of Milwaukee Ward 107 ,8,6,5,0
13050,City of Milwaukee Ward 108 ,5,5,16,0
13053,City of Milwaukee Ward 109 ,9,3,20,0
13056,City of Milwaukee Ward 110 ,6,8,27,0
